season,position,checkpoint,historyEnabled,rateFeatureCount,selectedAvailabilityStrategy,availabilityFeatureCount,validationBlocks,validationMae,validationGamesMae
2015,WR,8,True,13,health_knn,13,2,122.82473748295189,2.0229390275309056
2016,WR,8,True,13,health_knn,13,3,128.27062784478596,2.0254944355454523
2017,WR,8,True,13,health_knn,13,4,126.27871660544413,1.9694045101834408
2018,WR,8,True,13,health_knn,13,5,123.7323612758083,1.9284571746604917
2019,WR,8,True,13,health_knn,13,6,125.8287656241123,1.9448086948915941
2020,WR,8,True,13,health_knn,13,7,125.19014049165055,1.9627841447894105
2021,WR,8,True,13,health_knn,13,8,124.07770286159976,1.9519939530448085
2022,WR,8,True,13,health_knn,13,9,124.74671940182253,1.964560809444667
2023,WR,8,True,13,health_knn,13,10,124.0622579523895,1.9696880593221224
2024,WR,8,True,13,health_knn,13,11,122.35103747427418,1.9477504124629073
2025,WR,8,True,13,health_knn,13,12,124.22503595562856,1.9582408707860401
2014,WR,12,False,0,full_available,0,1,93.90652623682426,1.403973509933775
2015,WR,12,False,0,current_availability,1,2,75.48643815201191,1.0590163934426229
2016,WR,12,False,0,current_availability,1,3,75.72707806112517,1.1475569398481604
2017,WR,12,False,0,current_availability,1,4,75.25896201177099,1.0992752565786275
2018,WR,12,False,0,current_availability,1,5,73.9665541458115,1.0980483451674232
2019,WR,12,False,0,health_knn,13,6,76.50732507767461,1.2684643007667404
2020,WR,12,False,0,health_knn,13,7,76.21952499727172,1.2731510819298009
2021,WR,12,False,0,health_knn,13,8,76.22160293400471,1.2724167368044013
2022,WR,12,False,0,health_knn,13,9,76.73654285868834,1.286772423415082
2023,WR,12,False,0,health_knn,13,10,77.0895011099492,1.297997834687175
2024,WR,12,False,0,health_knn,13,11,76.48614461725988,1.2925531897409839
2025,WR,12,False,0,health_knn,13,12,76.80379635380052,1.3024812480701569
